ALAMEDA,22307,21866,21951,21946,21995,22157
ALPINE,6,,,,,
AMADOR,376,351,357,358,359,364
BUTTE,2899,2792,2804,2789,2822,2849
CALAVERAS,464,416,423,421,425,434
COLUSA,414,408,408,413,,
CONTRA COSTA,15292,14946,14978,14995,15087,15147
DEL NORTE,368,360,361,364,362,366
EL DORADO,2360,2147,2162,2165,2180,2209
FRESNO,18573,17986,18088,18124,18309,18359
GLENN,510,503,504,508,505,508
HUMBOLDT,1762,1633,1623,1622,1633,1654
IMPERIAL,3362,3310,3321,3305,3342,3347
INYO,221,218,219,218,218,219
KERN,17580,16517,16685,16673,16923,17014
KINGS,2678,2625,2656,2658,2660,2673
LAKE,850,808,825,825,829,838
LASSEN,326,312,313,312,316,318
LOS ANGELES,140822,135808,136321,136409,137773,138528
MADERA,2778,2668,2681,2695,2708,2731
MARIN,3259,3145,3136,3156,3143,3184
MARIPOSA,150,137,139,137,139,141
MENDOCINO,1305,1161,1162,1189,1192,1247
MERCED,5421,5298,5316,5304,5377,5385
MODOC,115,,,,,
MONO,166,156,155,155,154,158
MONTEREY,7161,7034,7054,7044,7082,7108
NAPA,1768,1702,1721,1716,1718,1734
NEVADA,913,769,785,776,789,795
ORANGE,42375,41120,41251,41227,41588,41814
PLACER,6296,5946,5970,5965,6022,6071
PLUMAS,193,186,187,186,189,191
RIVERSIDE,35453,34554,34755,34750,34916,35118
SACRAMENTO,21508,20380,20614,20642,20811,21006
SAN BENITO,1019,1008,1010,1008,1007,1011
SAN BERNARDINO,33825,32903,33094,33139,33271,33484
SAN DIEGO,47174,44643,44848,44832,45256,45595
SAN FRANCISCO,6701,6434,6434,6466,6484,6538
SAN JOAQUIN,12582,12210,12311,12299,12363,12441
SAN LUIS OBISPO,3074,2952,2950,2973,2990,3011
SAN MATEO,9361,9155,9181,9173,9253,9281
SANTA BARBARA,6632,6475,6496,6486,6512,6548
SANTA CLARA,26410,25816,25902,25857,26099,26142
SANTA CRUZ,3565,3310,3313,3294,3313,3368
SHASTA,2526,2325,2341,2348,2376,2407
SIERRA,39,,,,,
SISKIYOU,564,523,525,525,527,533
SOLANO,5534,5430,5454,5462,5483,5510
SONOMA,6645,6238,6248,6251,6290,6330
STANISLAUS,8858,8588,8623,8616,8691,8675
SUTTER,2152,1783,1789,1771,1866,1881
TEHAMA,1033,998,1002,1014,1013,1018
TRINITY,71,62,62,63,64,66
TULARE,9450,9326,9367,9353,9389,9401
TUOLUMNE,620,553,557,565,574,576
VENTURA,12056,11695,11714,11720,11784,11841
YOLO,2779,2666,2679,2676,2694,2726
YUBA,1420,1326,1344,1358,1383,1392
MISSING,,158,159,155,573,574
